                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0722,                 4.0535,                 1.0505,                0.00273,                0.17441,                0.00811,                0.00521,                0.65422,                 4.1235,                0.83673,                  7e-05,                  7e-05,                  7e-05
                      2,                 1.0251,                 3.3161,                  0.996,                 0.0121,                0.70414,                0.15874,                 0.1079,                0.81423,                 3.8729,                0.84624,             0.00014703,             0.00014703,             0.00014703
                      3,                 1.0341,                 2.6059,                0.99189,                0.01429,                0.81472,                0.17353,                0.10736,                0.91595,                 3.7163,                0.85712,             0.00022089,             0.00022089,             0.00022089
                      4,                 1.0026,                  2.405,                 1.0034,                0.01653,                0.87968,                0.18258,                0.10658,                 1.0734,                 3.5874,                0.89309,             0.00029159,             0.00029159,             0.00029159
                      5,                 1.0611,                 2.1789,                 1.0188,                0.01846,                 0.9418,                0.18963,                0.11567,                0.85952,                 3.3837,                0.84105,             0.00035911,             0.00035911,             0.00035911
                      6,                0.96918,                 1.9843,                 1.0153,                0.79912,                   0.15,                0.24667,                0.17857,                0.82734,                 3.2649,                0.83266,             0.00042347,             0.00042347,             0.00042347
                      7,                0.94473,                 1.7523,                0.98699,                 0.5881,                0.16296,                0.27563,                0.17887,                0.87937,                 3.1577,                0.85409,             0.00048466,             0.00048466,             0.00048466
                      8,                 1.0461,                 1.6239,                 1.0107,                 0.5356,                0.16117,                0.40373,                 0.3009,                0.80635,                 3.0231,                0.85287,             0.00054268,             0.00054268,             0.00054268
                      9,                 1.0073,                 1.5792,                 1.0078,                  0.689,                0.18767,                0.45223,                0.32146,                0.83976,                 2.8742,                0.86959,             0.00059754,             0.00059754,             0.00059754
                     10,                0.95855,                 1.4493,                0.99592,                0.70746,                0.26396,                0.61203,                0.45709,                0.80471,                 2.6448,                0.86694,             0.00064922,             0.00064922,             0.00064922
                     11,                0.94727,                 1.3416,                 1.0284,                0.82619,                0.43036,                0.76008,                0.56287,                0.91887,                 2.3836,                0.90954,             0.00069774,             0.00069774,             0.00069774
                     12,                0.93887,                 1.2458,                 1.0103,                0.90137,                0.47629,                0.80256,                0.64713,                0.75233,                 2.2457,                0.87038,             0.00074309,             0.00074309,             0.00074309
                     13,                0.89456,                  1.129,                 1.0341,                0.71284,                0.61255,                0.81661,                0.59318,                0.92591,                 1.9733,                0.92291,              0.0007624,              0.0007624,              0.0007624
                     14,                0.91609,                 1.0696,                 1.0074,                 0.7737,                0.67239,                0.77916,                0.58284,                0.85621,                 1.7827,                0.89793,              0.0007624,              0.0007624,              0.0007624
                     15,                0.88896,                 1.0383,                 1.0042,                 0.7886,                0.58264,                0.81734,                0.63794,                0.81029,                 1.7929,                 0.8872,              0.0007426,              0.0007426,              0.0007426
                     16,                0.90383,                 1.0301,                 1.0301,                0.78063,                 0.8144,                 0.8967,                0.64684,                0.93553,                 1.4825,                 0.9297,              0.0007228,              0.0007228,              0.0007228
                     17,                0.86997,                0.94091,                0.99539,                 0.8913,                0.73939,                 0.9333,                0.74797,                0.76507,                 1.2357,                0.87008,               0.000703,               0.000703,               0.000703
                     18,                0.87947,                 0.9433,                 1.0197,                0.88964,                0.83147,                0.93268,                0.71342,                0.82103,                 1.3486,                0.88166,              0.0006832,              0.0006832,              0.0006832
                     19,                0.89653,                0.96342,                 1.0287,                0.80866,                0.91631,                0.91464,                0.69154,                0.82477,                 1.2443,                0.89623,              0.0006634,              0.0006634,              0.0006634
